role,company,experience,location,salary,skills,description,job_type,duration,posted_date,job_url
Data Engineering,Rebel Foods Private Limited,0 years (Fresher),,"₹ 19,000 - 20,000 /month",Artificial intelligence | AWS CloudFormation | Database Management System (DBMS) | Python | SQL | Certificate | Letter of recommendation | Informal dress code | 5 days a week,"About the internship We are looking for a 'Data Engineering Intern' to join the Applied AI team at Rebel Foods. You will help build and improve the data foundations that power AI products and internal agents across teams like operations, brands, and finance. This role is ideal for someone who enjoys working with data systems, solving messy data problems, and building reliable pipelines that make data easy to trust and use. Selected intern's day-to-day responsibilites include: 1. Build data pipelines to collect, clean, and organize data from different sources 2. Improve data quality by identifying errors, gaps, and inconsistencies 3. Help structure datasets for AI and analytics use cases 4. Support data storage decisions across files, databases, and data warehouses 5. Create simple monitoring and validation checks for data freshness and accuracy 6. Work closely with backend and AI engineers to make data usable for internal tools and agents 7. Document data sources and transformations so",Internship,3 Months,3 days ago,https://internshala.com/internship/detail/data-engineering-internship-in-mumbai-at-rebel-foods-private-limited1773316175
Data Engineering,Rebel Foods Private Limited,0 years (Fresher),,"₹ 20,000 - 22,000 /month",Python | SQL | Letter of recommendation | Informal dress code | 5 days a week,"About the internship Selected 'Data Engineering - Applied AI Team, Rebel Foods' intern's day-to-day responsibilites include working on data pipelines, data quality, and data infrastructure powering AI tools across operations and other business teams. Skill(s) required Python SQL Earn certifications in these skills Learn Python Learn SQL Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 9th Mar'26 and 15th Apr'26 3. are available for duration of 6 months 4. have relevant skills and interests Other requirements Looking for strong SQL and Python skills, curiosity for messy real-world data, and interest in building reliable data systems for applied AI. Perks Letter of recommendation Informal dress code 5 days a week Number of openings 1 About Rebel Foods Private Limited Website Rebel Foods (parent company of Faasos), our 10-year-old startup and known for its major brands - Faasos, Behrouz Biryani, Ov",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/data-engineering-internship-in-mumbai-at-rebel-foods-private-limited1773128853
Global Talent Intern,"AIESEC India (Mumbai, India)",0 years (Fresher),,Not Disclosed,Business Analysis | Data Analytics | Digital Marketing | Finance | Marketing | Mobile Application Development | Sales | Social Media Marketing | Web development,"About the internship As a Global Talent Intern, you will work with an international organization to contribute to business projects while gaining hands-on professional experience in a global workplace. You will collaborate with multicultural teams, work on real industry problems, and build capabilities relevant to your career domain. Key Responsibilities: Responsibilities vary depending on the specific opportunity but may include: Core Responsibilities: 1. Contribute to ongoing projects within the assigned functional area (e.g., technology, marketing, business operations). 2. Conduct research, analysis, and project execution aligned with team goals. Develop and deliver outputs such as reports, presentations, documentation, or product features. 3. Collaborate with cross-functional teams and international stakeholders. 4. Support process improvements, testing, or operational activities where required. Example Role Activities (Depending on Internship) 1. Develop or customize software feat",Internship,6 weeks,,https://internshala.com/internship/detail/global-talent-intern-internship-in-multiple-locations-at-aiesec-india1772795796
Tech News Editor (WordPress),Abhinava Innovations,0 years (Fresher),,"₹ 5,000 /month",CMS (Content Management System) | Content Editing | English Proficiency (Written) | Proofreading | Certificate | Letter of recommendation,"About the internship Selected intern's day-to-day responsibilities include: 1. Track trending tech topics and suggest story ideas 2. Research from official and credible sources 3. Draft short tech news articles 4. Support editing and content formatting 5. Upload and publish stories in WordPress 6. Add categories, tags, featured images, and links 7. Follow editorial guidelines and deadlines Skill(s) required CMS (Content Management System) Content Editing English Proficiency (Written) Proofreading Earn certifications in these skills Learn Business Communication Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Creative Writing Learn Digital Marketing Learn Business Analytics Learn Web Development Learn Web development Learn Vibe Coding Learn Git & Github Learn SEO Learn WordPress + 7 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 12th Mar'26 and ",Internship,6 Months,3 days ago,https://internshala.com/internship/detail/tech-news-editor-wordpress-internship-in-kolkata-at-abhinava-innovations1773322487
Frontend Developer (WordPress),Opvia.in,0 years (Fresher),,"₹ 10,000 - 15,000 /month",CSS | HTML | WordPress,"About the internship Key Responsibilities: 1. Assist in converting Figma designs into responsive WordPress pages. 2. Build frontend layouts using HTML, CSS, and basic JavaScript. 3. Ensure websites are responsive across desktop, tablet, and mobile devices. 4. Support theme customization and page builder adjustments in WordPress. 5. Fix layout issues and implement design revisions. 6. Follow basic development best practices and maintain clean code. Skill(s) required CSS HTML WordPress Earn certifications in these skills Learn CSS Learn HTML Learn WordPress Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 11th Mar'26 and 15th Apr'26 3. are available for duration of 6 months 4. are from Kolkata only 5. have relevant skills and interests Other requirements 1. Basic understanding of HTML and CSS 2. Knowledge of responsive design principles 3. Basic JavaScript knowledge 4. Familiarity with WordPress (",Internship,6 Months,3 days ago,https://internshala.com/internship/detail/frontend-developer-wordpress-internship-in-kolkata-at-opviain1773295080
Web Development,Perosite,0 years (Fresher),,"₹ 3,000 - 5,000 /month",Bootstrap | CSS | HTML | JavaScript | jQuery | MySQL | PHP | WordPress | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week,"About part time job/internship As a web development intern at Perosite, you will have the opportunity to work on cutting-edge projects and gain hands-on experience with PHP, MySQL, HTML, CSS, JavaScript, jQuery, Bootstrap, and WordPress. You will be an integral part of our dynamic team, collaborating with experienced developers to create innovative and user-friendly websites for our clients. Selected intern's day-to-day responsibilites include: 1. Assist in the design and development of responsive websites using HTML, CSS, and JavaScript. 2. Build and maintain databases using MySQL for optimal performance and data storage. 3. Implement custom features and functionality using PHP and WordPress. 4. Troubleshoot and debug code to ensure a seamless user experience across all platforms. 5. Collaborate with designers and project managers to meet project deadlines and deliver high-quality results. 6. Stay up-to-date with the latest web development trends and technologies to continuously impro",Internship,3 Months,4 days ago,https://internshala.com/internship/detail/part-time-web-development-internship-in-ludhiana-at-perosite1773207188
AI Marketing & Business Growth,LNB Digital Solutions,0 years (Fresher),,"₹ 5,000 /month",AI Image Generation | 5 days a week,"About the internship Do you want to learn how to use AI to build a business from the ground up? We are looking for a 'Hustler-in-Chief'     someone who is tech-savvy, great at talking to people, and excited about the future of AI and social media. You won't just be 'working'; you'll be building 'Digital Growth Bundles' for local businesses, connecting them with influencers, and creating AI-powered websites. Selected intern's day-to-day responsibilites include: 1. Digital Treasure Hunt: Use Google Maps to find top-rated local businesses (jewelry, auto, retail) that don't have a website yet. 2. Influencer Networking: Find and DM local Delhi influencers, negotiate rates, and build a 'Creator Circle' to help our clients go viral. 3. Build with AI: Use AI tools (like Framer or 10Web) to build stunning 1-5 page websites in record time. 4. The 'Close': Call business owners to pitch our unique bundle (website + influencer marketing). Your goal is to book a meeting for the founder. 5. Tech Cust",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/ai-marketing-business-growth-internship-in-delhi-at-lnb-digital-solutions1773129678
System Admin,Infolog Solutions Private Limited,0 years (Fresher),,"₹ 6,000 - 8,000 /month",Troubleshooting | Windows | Certificate | 5 days a week,"About the internship Selected intern's day-to-day responsibilities include: 1. Providing support on the Windows platform. 2. Installing, configuring, and administering Windows 7, Windows 8, and Windows 10. 3. Troubleshooting problems on all model desktop and laptop hardware and configuring drivers and devices. 4. Configuring new user PCs and profiles, IP addresses, and LAN. 5. Troubleshooting, installing, and configuring mail clients like MS Outlook, and resolving mail-related issues. 6. Solving internet-related problems and configuring basic TCP/IP settings. 7. Creating, deleting, and modifying user accounts, and assigning permissions. 8. Remotely managing systems through TeamViewer, VNC, and Remote Desktop to resolve Windows and software issues. 9. Installing, configuring, and maintaining network printers. 10. Taking care of support for all internal office software. Skill(s) required Troubleshooting Windows Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/system-admin-internship-in-bangalore-at-infolog-solutions-private-limited1773128698
ReactJS Development,SocyGen,0 years (Fresher),,"₹ 8,000 - 16,000 /month",React | Redux | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week | Free snacks & beverages,"About the internship Are you a talented ReactJS developer looking to gain real-world experience? SocyGen is seeking a passionate intern to join our dynamic team. As a ReactJS Development intern, you will have the opportunity to work on cutting-edge projects and collaborate with experienced professionals in the field. If you have a strong understanding of React and Redux, this is the perfect opportunity for you to enhance your skills and make a meaningful impact in a fast-paced environment. 1. Develop user interfaces using ReactJS 2. Implement state management with Redux 3. Collaborate with the team to design and build new features 4. Optimize applications for maximum speed and scalability 5. Write clean, efficient, and maintainable code 6. Conduct code reviews and provide feedback to peers 7. Stay up-to-date on the latest industry trends and best practices in ReactJS development Join us at SocyGen and take the next step in your career as a ReactJS Development intern. Apply now and be a",Internship,3 Months,,https://internshala.com/internship/detail/reactjs-development-internship-in-patna-at-socygen1772739289
Full Stack Development,Reach Skyline,0 years (Fresher),,"₹ 3,000 - 5,000 /month",CSS | HTML | JavaScript | MySQL | Node.js | Python | React | Certificate | Letter of recommendation | Informal dress code | Free snacks & beverages,"About the internship Selected intern's day-to-day responsibilities include: Assist in developing and maintaining web applications using HTML, CSS, JavaScript, and modern frameworks. Support backend development and API integration using technologies such as Node.js, Python, or Java. Work with databases (MySQL, PostgreSQL, or MongoDB) to manage data and write basic queries. Identify and fix bugs through testing, debugging, and code optimization. Collaborate with the development team using Git version control and standard development workflows. Skill(s) required CSS HTML JavaScript MySQL Node.js Python React Earn certifications in these skills Learn CSS Learn HTML Learn Node.JS using Javascript Learn Software Testing using Javascript Learn JavaScript Learn MySQL Learn Node.JS Learn Python Learn ReactJS + 2 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 5th Mar'26 and 9th Apr'26 3. are",Internship,3 Months,,https://internshala.com/internship/detail/full-stack-development-internship-in-madurai-at-reach-skyline1772689897
Mobile App & Web Development,Pioneer Sam Energia,0 years (Fresher),,"₹ 2,500 - 3,000 /month",Design Thinking | Digital Advertising | Digital Marketing | Certificate | Letter of recommendation,"About the internship Selected intern's day-to-day responsibilities will include any of these: 1. Developing mobile applications for the company's services 2. Working on website development from static to dynamic including payment get-ways 3. Promoting social media for the company's services Skill(s) required Design Thinking Digital Advertising Digital Marketing Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Web Development Learn Web development Learn Vibe Coding Learn Android App Development Learn Git & Github + 2 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 3rd Mar'26 and 7th Apr'26 3. are available for duration of 6 months 4. are from Pune, Vasai-Virar only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Numbe",Internship,6 Months,,https://internshala.com/internship/detail/mobile-app-web-development-internship-in-multiple-locations-at-pioneer-sam-energia1772547880
IT Trainer/Computer Teacher,Cloudprix Technology Solutions,0 years (Fresher),,"₹ 3,000 - 6,000 /month",Computer skills | C Programming | Tally | Typing | Certificate | Informal dress code | Free snacks & beverages,"About the internship Selected intern's day-to-day responsibilities include: 1. Conduct classroom and practical lab sessions, 2. Deliver syllabus as per MKCL/MS-CIT guidelines, 3. Provide hands-on training and real-time examples, 4. Prepare students for online exams and internal tests, 5. Maintain attendance and student progress records, 6. Assist students in solving practical assignments, 7. Support admission counseling when required, 8. Maintain discipline and positive classroom environment. Skill(s) required Computer skills C Programming Tally Typing Earn certifications in these skills Learn C Programming Learn Tally Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 27th Feb'26 and 3rd Apr'26 3. are available for duration of 6 months 4. are from Hingna only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply. Other requirements 1. Strong knowledge ",Internship,6 Months,,https://internshala.com/internship/detail/it-trainer-computer-teacher-internship-in-hingna-at-cloudprix-technology-solutions1772271187
Website Design And Development,Women's Business Incubation Program,0 years (Fresher),,"₹ 12,000 - 15,000 /month",Search Engine Optimization (SEO) | Web Design | Web development | Certificate | Letter of recommendation,About the internship Selected intern's day-to-day responsibilities include: 1. Designing web pages. 2. Developing websites. 3. Optimizing for search engines. 4. Managing social media. Skill(s) required Search Engine Optimization (SEO) Web Design Web development Earn certifications in these skills Learn SEO Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Python Learn Data Structures & Algorithms Learn UI & UX Design Learn Digital Marketing Learn Business Analytics Learn Web Development Learn Web development Learn Vibe Coding Learn Git & Github Learn Nodejs + 8 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 26th Feb'26 and 2nd Apr'26 3. are available for duration of 2 months 4. are from Thiruvananthapuram only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommend,Internship,2 Months,,https://internshala.com/internship/detail/website-design-and-development-internship-in-thiruvananthapuram-at-womens-business-incubation-program1772185573
Assistant Project Manager,Cogzin Technology,0 years (Fresher),,"₹ 5,000 - 10,000 /month",Database Management System (DBMS) | JavaScript | Linux Administration | Python | Certificate | Letter of recommendation | Informal dress code,"About the internship Are you a tech-savvy individual with a passion for project management and a strong background in JavaScript, Python, Database Management System (DBMS), and Linux Administration? Cogzin Technology is looking for someone like you to join our dynamic team. Selected intern's day-to-day responsibilites include: 1. Assist the Project Manager in planning, executing, and closing projects within scope, schedule, and budget. 2. Collaborate with cross-functional teams to ensure project deliverables meet quality standards. 3. Utilize your expertise in JavaScript, Python, DBMS, and Linux Administration to troubleshoot technical issues and optimize project performance. 4. Conduct research and analysis to support project planning and decision-making processes. 5. Communicate project updates and status reports to stakeholders in a clear and concise manner. 6. Support the development of project documentation, including project plans, schedules, and risk assessments. 7. Contribute i",Internship,2 weeks,,https://internshala.com/internship/detail/assistant-project-manager-internship-in-multiple-locations-at-cogzin-technology1772085242
Digital Marketing,Rajneesh Mitra,0 years (Fresher),,"₹ 7,500 - 10,000 /month",Artificial intelligence | Digital Marketing | Search Engine Marketing (SEM) | Search Engine Optimization (SEO) | Social Media Marketing | Web Design | Certificate | Flexible work hours | Informal dress code,About the internship Selected intern's day-to-day responsibilities include: 1. SEO and GEO 2. Digital Marketing 3. Website designing ( Rebuilding the existing static site on WordPress) 4. Generation of AI based contents for digital marketing Skill(s) required Artificial intelligence Digital Marketing Search Engine Marketing (SEM) Search Engine Optimization (SEO) Social Media Marketing Web Design Earn certifications in these skills Learn Artificial intelligence Learn Search Engine Marketing Learn SEO Learn Social Media Marketing Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 26th Feb'26 and 2nd Apr'26 3. are available for duration of 3 months 4. are from Indore only 5. have relevant skills and interests Perks Certificate Flexible work hours Informal dress code Number of openings 1 About Rajneesh Mitra I am a law professional and run a consultancy firm in Indore (M.P.) under the name of Diligent,Internship,3 Months,,https://internshala.com/internship/detail/digital-marketing-internship-in-indore-at-rajneesh-mitra1772077313
Law/Legal,Rahul Kathiriya,0 years (Fresher),,"₹ 15,000 - 40,000 /month",English Proficiency (Spoken) | English Proficiency (Written) | MS-Office | MS-Word | Certificate | Flexible work hours | 5 days a week,"About the internship We are looking for a talented PHP Development intern to join our team at CA Rahul Kathiriya company! If you are passionate about PHP and eager to gain hands-on experience, then this opportunity is perfect for you. As an intern, you will have the chance to work closely with our team of experienced developers and contribute to exciting projects. Your key responsibilities will include: 1. Writing well-designed, efficient, and testable code using PHP 2. Troubleshooting, debugging, and maintaining existing codebase 3. Collaborating with team members to design and implement new features 4. Participating in code reviews and providing feedback for continuous improvement 5. Assisting in optimizing applications for maximum speed and scalability 6. Researching and implementing new technologies to enhance our products 7. Learning and growing your skills in PHP development under mentorship If you are a motivated and enthusiastic individual with a strong foundation in PHP, then ",Internship,2 weeks,,https://internshala.com/internship/detail/law-legal-internship-in-surat-at-rahul-kathiriya1771923786
WordPress Dev Internship,Meta3 Infotech Pvt Ltd,0 years (Fresher),Work From Home,Competitive stipend,,"About the work from home job/internship Unpaid Internship for 2 months You will get certificate. Get full time Job opportunity as well. Company Description Meta3 Infotech Pvt Ltd was founded by a group of dedicated employees who identified common challenges customers face when establishing their businesses online. With a strong focus on listening to customer needs, the company offers practical and effective solutions while ensuring customer satisfaction with a money-back guarantee if issues cannot be resolved. Meta3 Infotech operates with clear vision and goals, prioritizing collaboration, open communication, and continuous employee development. The company strives to remain adaptable and innovative to meet the dynamic requirements of the business landscape. Role Description This is a full-time remote WordPress Developer Internship role. As a WordPress Development Intern, you will assist in building and maintaining websites using WordPress. Daily tasks include coding, testing, debuggin",Internship,2 months,,https://internshala.com/internship/detail/work-from-home-wordpress-dev-internship-internship-at-meta3-infotech-pvt-ltd1773570726
Backend Developer Intern,BuyerForesight,0 years (Fresher),Work From Home,Competitive stipend,,"About the work from home job/internship Company Description BuyerForesight is a global demand generation agency dedicated to helping businesses connect with ideal prospects through genuine, conversation-driven interactions powered by data insights. With expertise in B2B marketing, BuyerForesight leverages first-party data and a collaborative approach to provide tailored prospect intelligence, aligning strategies with client needs. By prioritizing meaningful connections, BuyerForesight helps optimize sales pipelines, boost engagement, and foster long-term growth. The company operates internationally, with offices across the US, Singapore, The Netherlands, Australia, the UK, the UAE, and India. For more information, visit https://buyerforesight.com. About the Role We are looking for a motivated Backend Developer Intern with 12 years of experience to join our engineering team. In this role, you will be responsible for developing and maintaining backend services that power our web applicat",Internship,12 years,,https://internshala.com/internship/detail/work-from-home-backend-developer-intern-internship-at-buyerforesight1773570665
